AbsCN.seq	ASCAT	PurBayes	ABSOLUTE	mean	median
TCGA-13-0890-01	0.57	0.54	0.6776066	0.57	0.58940165	0.57
TCGA-13-0891-01	0.7	0.77	0.9573148	0.92	0.8368287	0.845
TCGA-13-0893-01	0.63	0.7	0.709982455335143	0.71	0.687495613833786	0.704991227667572
TCGA-13-0897-01	0.94	0.75	0.8095448	0.81	0.8273862	0.8097724
TCGA-13-0899-01	0.67	0.65	0.718310019832374	0.76	0.699577504958093	0.694155009916187
TCGA-13-0905-01	0.86	0.86	0.8554902	0.94	0.87887255	0.86
TCGA-13-0908-01	0.95	0.63	0.82579817561814	0.847933958050787	0.813433033417232	0.836866066834464
TCGA-13-0911-01	0.45	0.51	0.9157427	0.6	0.618935675	0.555
TCGA-13-0916-01	0.81	0.76	0.8471312	0.91	0.8317828	0.8285656
TCGA-13-0920-01	0.64	0.67	0.8616908	0.777308623486062	0.737249855871515	0.723654311743031
TCGA-13-0923-01	0.62	0.68	0.5211442	0.78	0.65028605	0.65
TCGA-13-0924-01	0.52	0.43	0.4980273	0.546442640059179	0.498617485014795	0.50901365
TCGA-13-1403-01	0.725972773747553	0.85	0.8082709	0.93	0.828560918436888	0.82913545
TCGA-13-1404-01	0.8	0.84	0.8459447	0.88	0.841486175	0.84297235
TCGA-13-1405-01	0.51	0.65	0.5545347	0.68	0.598633675	0.60226735
TCGA-13-1409-01	0.67	0.88	0.1073105	0.666378092314139	0.580922148078535	0.66818904615707
TCGA-13-1410-01	0.73	0.75	0.6449759	0.778521369448584	0.725874317362146	0.74
TCGA-13-1411-01	0.44	0.37	0.6322383	0.39	0.458059575	0.415
TCGA-13-1477-01	0.68	0.8	0.6222753	0.91	0.753068825	0.74
TCGA-13-1481-01	0.36	0.419998133323288	0.189275	0.65	0.404818283330822	0.389999066661644
TCGA-13-1482-01	0.7	0.81	0.757401	0.86	0.78185025	0.7837005
TCGA-13-1483-01	0.55	0.68	0.7083839	0.77	0.677095975	0.69419195
TCGA-13-1485-01	0.68	0.73	0.2565089	0.65014299838934	0.579162974597335	0.66507149919467
TCGA-13-1487-01	0.76	0.74	0.811082800463855	0.85	0.790270700115964	0.785541400231927
TCGA-13-1488-01	0.54	0.76	0.9792152	0.73	0.7523038	0.745
TCGA-13-1489-01	0.85	0.75	0.7572899	0.88	0.809322475	0.80364495
TCGA-13-1492-01	0.92	0.88	0.8226931	0.99	0.903173275	0.9
TCGA-13-1495-01	0.66	0.67	0.6831497	0.82	0.708287425	0.67657485
TCGA-13-1496-01	0.75	0.66	0.5239796	0.8	0.6834949	0.705
TCGA-13-1497-01	0.77	0.73	0.5651255	0.85	0.728781375	0.75
TCGA-13-1498-01	0.8	0.82	0.8358809	0.89	0.836470225	0.82794045
TCGA-13-1499-01	0.56	0.41	0.6146913	0.42	0.501172825	0.49
TCGA-13-1501-01	0.57	0.62	0.5658777	0.65	0.601469425	0.595
TCGA-13-1505-01	0.66	0.7	0.770093990424272	0.87	0.750023497606068	0.735046995212136
TCGA-13-1506-01	0.89	0.83	0.916373918639578	0.94	0.894093479659894	0.903186959319789
TCGA-13-1507-01	0.67	0.65	0.9613248	0.73	0.7528312	0.7
TCGA-13-1509-01	0.57	0.71	0.7238532	0.78	0.6959633	0.7169266
TCGA-13-1510-01	0.75	0.81	0.8558676	0.89	0.8264669	0.8329338
TCGA-13-1511-01	0.82	0.82	0.7783889	0.89	0.827097225	0.82
TCGA-13-1512-01	0.72	0.77	0.8365255	0.85	0.794131375	0.80326275
TCGA-13-2060-01	0.56	0.58	0.620954379647576	0.65	0.602738594911894	0.600477189823788
TCGA-13-A5FT-01	0.7	0.696013381771043	0.8046221	0.85	0.762658870442761	0.75231105
TCGA-14-0781-01	0.27	0.4	0.2469205	0.22	0.284230125	0.25846025
TCGA-14-0787-01	0.71	0.8	0.82764	0.84	0.79441	0.81382
TCGA-14-0789-01	0.24	0.35	0.400084559415492	0.56	0.387521139853873	0.375042279707746
TCGA-14-0790-01	0.77	0.83	0.8715258	0.93	0.85038145	0.8507629
TCGA-14-0817-01	0.64	0.5	0.667817382696999	0.82	0.65695434567425	0.653908691348499
TCGA-14-0871-01	0.75	0.735560592937567	0.831534893928937	0.93	0.811773871716626	0.790767446964469
TCGA-14-1034-01	0.64	0.54	0.6327648	0.54	0.5881912	0.5863824
TCGA-14-1823-01	0.65	0.48	0.66975	0.64	0.6099375	0.645
TCGA-14-1825-01	0.89	0.82	0.9110805	0.88	0.875270125	0.885
TCGA-14-1829-01	0.49	0.52	0.62783	0.7	0.5844575	0.573915
TCGA-14-2554-01	0.53	0.75	0.624954	0.81	0.6787385	0.687477
TCGA-15-0742-01	0.87	0.86	0.8906261	0.92	0.885156525	0.88031305
TCGA-15-1444-01	0.44	0.54	0.4476903	0.6	0.506922575	0.49384515
TCGA-16-0846-01	0.5	0.51	0.865349	0.64	0.62883725	0.575
TCGA-16-1045-01	0.34	0.36	0.6015963	0.49	0.447899075	0.425
TCGA-18-3407-01	0.45	0.31	0.2786065	0.29	0.332151625	0.3
TCGA-18-3408-01	0.7	0.57	0.7463411	0.76	0.694085275	0.72317055
TCGA-18-3409-01	0.5	0.46	0.6294046	0.587640437606207	0.544261259401552	0.543820218803104
TCGA-18-3410-01	0.73	0.62	0.6277771	0.65	0.656944275	0.63888855
TCGA-18-3411-01	0.61	0.5	0.566493587288976	0.53	0.551623396822244	0.548246793644488
TCGA-18-3412-01	0.5793395297633	0.5	0.7629206	0.78	0.655565032440825	0.67113006488165
TCGA-18-3414-01	0.7	0.7	0.750910589261672	0.77	0.730227647315418	0.725455294630836
TCGA-18-3415-01	0.55	0.44	0.4958186	0.48	0.49145465	0.4879093
TCGA-18-3416-01	0.67	0.46	0.5324203	0.51	0.543105075	0.52121015
TCGA-18-3417-01	0.46	0.28	0.7296267	0.31	0.444906675	0.385
TCGA-18-3419-01	0.45	0.54	0.5537835	0.583502272536738	0.531821443134184	0.54689175
TCGA-18-3421-01	0.5	0.44	0.8929946	0.47	0.57574865	0.485
TCGA-18-4083-01	0.62	0.53	0.629200765175559	0.68	0.61480019129389	0.62460038258778
TCGA-18-4721-01	0.42	0.43	0.8204688	0.39	0.5151172	0.425
TCGA-18-5592-01	0.66737559461225	0.73	0.7842559	0.85	0.757907873653063	0.75712795
TCGA-18-5595-01	0.78	0.67	0.7977485	0.803494828294738	0.762810832073685	0.78887425
TCGA-19-1390-01	0.72	0.68	0.9092555	0.8	0.777313875	0.76
TCGA-19-1787-01	0.92	0.53	0.780151426429689	0.86	0.772537856607422	0.820075713214844
TCGA-19-2619-01	0.83	0.72	0.7694806	0.92	0.80987015	0.7997403
TCGA-19-2620-01	0.4	0.64	0.5528204	0.66	0.5632051	0.5964102
TCGA-19-2624-01	0.6	0.84	0.8554969	0.94	0.808874225	0.84774845
TCGA-19-2625-01	0.83	0.61	0.5714913	0.65	0.665372825	0.63
TCGA-19-2629-01	0.52	0.56	0.7057249	0.6	0.596431225	0.58
TCGA-19-4065-01	0.46	0.38	0.9482771	0.47	0.564569275	0.465
TCGA-19-5960-01	0.86	0.83	0.8566906	0.97	0.87917265	0.8583453
TCGA-20-0987-01	0.56	0.48	0.4838501	0.48	0.500962525	0.48192505
TCGA-20-0991-01	0.549011697984977	0.5	0.901921	0.53	0.620233174496244	0.539505848992488
TCGA-20-1682-01	0.687806272121753	0.76	0.8774595	0.82	0.786316443030438	0.79
TCGA-20-1683-01	0.665188943320824	0.81	0.6089574	0.89	0.743536585830206	0.737594471660412
TCGA-20-1684-01	0.64	0.85	0.852491313689607	0.96	0.825622828422402	0.851245656844804
TCGA-20-1685-01	0.69	0.62	0.9375509	0.74	0.746887725	0.715
TCGA-20-1686-01	0.615633855715661	0.73	0.5597539	0.82	0.681346938928915	0.67281692785783
TCGA-20-1687-01	0.8	0.73	0.8199156	0.76	0.7774789	0.78
TCGA-21-1070-01	0.53	0.42	0.4240302	0.525587687992801	0.4749044719982	0.4748089439964
TCGA-21-1071-01	0.44	0.23	0.32898161086719	0.29	0.322245402716797	0.309490805433595
TCGA-21-1075-01	0.7	0.66	0.728536927599957	0.75	0.709634231899989	0.714268463799979
TCGA-21-1076-01	0.33	0.3	0.7055754	0.2	0.38389385	0.315
TCGA-21-1077-01	0.48	0.33	0.6925685	0.546810310109025	0.512344702527256	0.513405155054512
TCGA-21-1078-01	0.56	0.73	0.8707372	0.778773068579357	0.734877567144839	0.754386534289679
TCGA-21-1079-01	0.54	0.52	0.577970239615815	0.610018099041648	0.561997084664366	0.558985119807907
TCGA-21-1080-01	0.74	0.7	0.763428926805914	0.77	0.743357231701478	0.751714463402957
TCGA-21-1081-01	0.5	0.39	0.475295850278622	0.49	0.463823962569655	0.482647925139311
TCGA-21-1082-01	0.9	0.6	0.617763	0.69	0.70194075	0.6538815
TCGA-21-1083-01	0.55	0.5	0.570945164268993	0.603273997215584	0.556054790371144	0.560472582134497
TCGA-21-5782-01	0.49	0.52	0.4229252	0.48	0.4782313	0.485
TCGA-21-5783-01	0.62	0.55	0.602345509558206	0.57	0.585586377389551	0.586172754779103
TCGA-21-5784-01	0.3	0.28982502032826	0.2211131	0.18	0.247734530082065	0.25546906016413
TCGA-21-5786-01	0.65	0.54	0.610896108106985	0.58	0.595224027026746	0.595448054053492
TCGA-21-5787-01	0.62	0.48	0.4893159	0.5	0.522328975	0.49465795
TCGA-21-A5DI-01	0.43	0.41	0.2793677	0.45150642275878	0.392718530689695	0.42
TCGA-22-0940-01	0.38	0.24	0.7964033	0.4	0.454100825	0.39
TCGA-22-0944-01	0.5	0.43	0.545222120000599	0.66	0.53380553000015	0.5226110600003
TCGA-22-1000-01	0.28	0.36283097673034	0.5718079	0.18	0.348659719182585	0.32141548836517
