,purity
TCGA-FY-A3R6-01,0.41501065
TCGA-FY-A3R7-01,0.23081312005479102
TCGA-FY-A3R8-01,0.42202455
TCGA-FY-A3R9-01,0.4340303
TCGA-FY-A3RA-01,0.5156430999999999
TCGA-FY-A3TY-01,0.39
TCGA-FY-A3W9-01,0.89397125
TCGA-FY-A3WA-01,0.721415008365235
TCGA-FY-A3YR-01,0.7055833
TCGA-FY-A40K-01,0.465
TCGA-FY-A40L-01,0.51
TCGA-FY-A40M-01,0.6812752762082029
TCGA-FY-A40N-01,0.53
TCGA-FY-A4B0-01,0.605
TCGA-FY-A4B3-01,0.36967305
TCGA-FY-A4B4-01,0.515
TCGA-FY-A76V-01,0.62967154089461
TCGA-GE-A2C6-01,0.355
TCGA-H2-A26U-01,0.31504885
TCGA-H2-A2K9-01,0.6674694
TCGA-H2-A3RH-01,0.55
TCGA-H2-A3RI-01,0.64703185
TCGA-H2-A421-01,0.485
TCGA-H2-A422-01,0.55413765
TCGA-IM-A3EB-01,0.47532890000000005
TCGA-IM-A3ED-01,0.485
TCGA-IM-A3U2-01,0.573510794947947
TCGA-IM-A3U3-01,0.60645475
TCGA-IM-A41Y-01,0.46326355
TCGA-IM-A41Z-01,0.47442805
TCGA-IM-A420-01,0.38761045
TCGA-IM-A4EB-01,0.42608255
TCGA-J8-A3NZ-01,0.70115735
TCGA-J8-A3O0-01,0.65054
TCGA-J8-A3O1-01,0.8439555000000001
TCGA-J8-A3O2-01,0.3064115
TCGA-J8-A3YD-01,0.245
TCGA-J8-A3YE-01,0.6337401
TCGA-J8-A3YF-01,0.4749689
TCGA-J8-A3YG-01,0.365
TCGA-J8-A3YH-01,0.395
TCGA-J8-A42S-01,0.335
TCGA-J8-A4HW-01,0.41439145
TCGA-J8-A4HY-01,0.3829122233832079
TCGA-KS-A41F-01,0.50730765
TCGA-KS-A41I-01,0.6079208
TCGA-KS-A41J-01,0.49118731789714204
TCGA-KS-A41L-01,0.605
TCGA-KS-A4I1-01,0.515
TCGA-KS-A4I3-01,0.700646405648274
TCGA-KS-A4I5-01,0.495
TCGA-KS-A4I7-01,0.435
TCGA-KS-A4I9-01,0.49
TCGA-KS-A4IB-01,0.7870688
TCGA-KS-A4IC-01,0.43848126309079105
TCGA-KS-A4ID-01,0.5109449804247039
TCGA-L6-A4EP-01,0.663348626936742
TCGA-L6-A4EQ-01,0.655
TCGA-L6-A4ET-01,0.5385867
TCGA-L6-A4EU-01,0.6526781
TCGA-MK-A4N6-01,0.53249905
TCGA-MK-A4N7-01,0.60849405
