,mean_z_low,Cell type
HN26_P26_G10_S370_comb,-0.024595909749081393,Non-malignant
HN26_P5_B04_S16_comb,-0.17760636353834072,Non-malignant
HN26_P5_C03_S27_comb,0.024590102360216307,Non-malignant
HN26_P5_C07_S31_comb,0.08131455764488059,Non-malignant
HN26_P5_C11_S35_comb,-0.052427517228638004,Non-malignant
HN26_P5_C12_S36_comb,0.046052579127911046,Non-malignant
HN26_P5_D02_S38_comb,-0.1379270301294354,Non-malignant
HN26_P5_D12_S48_comb,-0.11362281875326241,Non-malignant
HN26_P5_E01_S49_comb,0.006272763430155715,Non-malignant
HN26_P5_E02_S50_comb,0.000127297503655385,Non-malignant
HN26_P5_E03_S51_comb,0.16203079824719724,Non-malignant
HN26_P5_E08_S56_comb,-0.03857085003964061,Non-malignant
HN26_P5_E12_S60_comb,-0.026397588456315166,Non-malignant
HN26_P5_F01_S61_comb,0.15749797792190537,Non-malignant
HN26_P5_F03_S63_comb,0.11765053651912451,Non-malignant
HN26_P5_F05_S65_comb,0.023677129595197396,Non-malignant
HN26_P5_F06_S66_comb,-0.19513663178992882,Non-malignant
HN26_P5_F12_S72_comb,0.22192139050832713,Non-malignant
HN26_P5_G02_S74_comb,0.2617281144191519,Non-malignant
HN26_P5_G03_S75_comb,0.5610498412262754,Non-malignant
HN26_P5_G08_S80_comb,0.43883004921824686,Non-malignant
HN26_P5_G11_S83_comb,-0.1477694547737197,Non-malignant
HN26_P5_G12_S84_comb,0.11808800786400037,Non-malignant
HN26_P5_H04_S88_comb,0.27028975900452096,Non-malignant
HN26_P6_A08_S8_comb,0.21505192379329985,Non-malignant
HN26_P6_B01_S13_comb,0.2362878379073971,Non-malignant
HN26_P6_B06_S18_comb,-0.1748425714386363,Non-malignant
HN26_P6_B07_S19_comb,0.11652834875509545,Non-malignant
HN26_P6_B09_S21_comb,-0.11532461477556233,Non-malignant
HN26_P6_C01_S25_comb,0.26379584255188027,Non-malignant
HN26_P6_E01_S49_comb,-0.007279236530918733,Non-malignant
HN26_P6_E02_S50_comb,0.2898315500327525,Non-malignant
HN26_P6_F03_S63_comb,0.003844104813595003,Non-malignant
HN26_P6_F07_S67_comb,0.48731091866112203,Non-malignant
HN26_P6_F08_S68_comb,0.04485802513702577,Non-malignant
HN26_P6_F09_S69_comb,0.3745295984313451,Non-malignant
HN26_P6_G03_S75_comb,0.21394824279406746,Non-malignant
HN26_P6_G04_S76_comb,-0.13048985929175652,Non-malignant
HN26_P6_H05_S89_comb,-0.00931260224959919,Non-malignant
HN26_P6_H11_S95_comb,-0.09734452506289572,Non-malignant
HN26_P6_H12_S96_comb,-0.06113824785245461,Non-malignant
HN28_P14_A02_S98_comb,0.6563409092748752,Non-malignant
HN28_P14_A03_S99_comb,0.6592020226269691,Non-malignant
HN28_P14_A04_S100_comb,-0.16090117517711336,Non-malignant
HN28_P14_A08_S104_comb,0.4167967971847886,Non-malignant
HN28_P14_A09_S105_comb,0.2716002447031384,Non-malignant
HN28_P14_B03_S111_comb,0.00924728402599443,Non-malignant
HN28_P14_B04_S112_comb,-0.10784283881718014,Non-malignant
HN28_P14_B05_S113_comb,-0.13179937170355385,Non-malignant
HN28_P14_B08_S116_comb,-0.19913896811653203,Non-malignant
HN28_P14_B09_S117_comb,0.4345668414002176,Non-malignant
HN28_P14_B10_S118_comb,0.04733991249209303,Non-malignant
HN28_P14_B11_S119_comb,0.09711797185754432,Non-malignant
HN28_P14_B12_S120_comb,0.32130790535826215,Non-malignant
HN28_P14_C01_S121_comb,-0.2684517968905647,Non-malignant
