,mean_z_high,Cell type,mean_z_low
HN25_P25_C01_S313_comb,-0.26190903052931147,Non-malignant,-0.044734842808977375
HN25_P25_C02_S314_comb,-0.26493261513367083,Non-malignant,-0.1076517696260567
HN25_P25_C08_S320_comb,-0.023039647877226652,Non-malignant,0.09113159394405287
HN25_P25_C09_S321_comb,-0.08208937157111972,Non-malignant,0.09186078642234843
HN25_P25_C11_S323_comb,0.11891578802789003,Non-malignant,0.22448435489368673
HN25_P25_D07_S331_comb,-0.1512859209377622,Non-malignant,0.0658124774495997
HN25_P25_E01_S337_comb,0.039554804615452924,Non-malignant,-0.03665621915528224
HN25_P25_E02_S338_comb,-0.11196207914444009,Non-malignant,-0.1670262928377164
HN25_P25_E06_S342_comb,-0.08863823157027004,Non-malignant,-0.1069052411098159
HN25_P25_E07_S343_comb,-0.3005560035088708,Non-malignant,0.0035815931518151847
HN25_P25_E09_S345_comb,-0.2205841283142374,Non-malignant,-0.034874439348062364
HN25_P25_E12_S348_comb,-0.14216074096585757,Non-malignant,0.4159092685666119
HN25_P25_F01_S349_comb,-0.16610105103187958,Non-malignant,-0.15663814137867044
HN25_P25_F03_S351_comb,0.07455749868391691,Non-malignant,-0.26030295759401273
HN25_P25_F05_S353_comb,-0.31110513611323215,Non-malignant,-0.24462538900018801
HN25_P25_F11_S359_comb,-0.14587932269697962,Non-malignant,0.034035649179812465
HN25_P5_A05_S5_comb,-0.12501464249602362,Non-malignant,-0.009230406880611903
HN25_P5_A08_S8_comb,0.36075543392788756,Non-malignant,0.5615216980728703
HN25_P5_A09_S9_comb,0.4466298628943671,Non-malignant,-0.06298185989468384
HN25_P5_A10_S10_comb,-0.05971913087973044,Non-malignant,0.7075510749181916
HN25_P5_A12_S12_comb,-0.31928920720144915,Non-malignant,0.5991469540442166
HN25_P5_B01_S13_comb,0.16644934133451142,Non-malignant,0.09735836917110238
HN25_P5_B02_S14_comb,-0.08537082709693705,Non-malignant,0.0961954156512857
HN25_P5_B03_S15_comb,-0.15736044397732954,Non-malignant,0.07244022413213042
HN25_P5_B04_S16_comb,-0.04405213570907329,Non-malignant,0.14769261409365367
HN25_P5_B06_S18_comb,0.34889261126677784,Non-malignant,0.14439734949411637
HN25_P5_B07_S19_comb,-0.2827527903402742,Non-malignant,0.056078737981571536
HN25_P5_B08_S20_comb,-0.055409283604678464,Non-malignant,0.2232191948848904
HN25_P5_C03_S27_comb,-0.2666336019793664,Non-malignant,-0.06838901853964675
HN25_P5_C05_S29_comb,0.28839086204771824,Non-malignant,0.5126968576193996
HN25_P5_C08_S32_comb,-0.08041460637427114,Non-malignant,0.597809709168793
HN25_P5_C10_S34_comb,0.3317437154109001,Non-malignant,0.32866301610205917
HN25_P5_C11_S35_comb,0.051872660365467595,Non-malignant,-0.10578573936701738
HN25_P5_C12_S36_comb,0.11579576472831596,Non-malignant,0.6488201537967327
HN25_P5_D01_S37_comb,-0.2977865278108609,Non-malignant,0.1253217548356257
HN25_P5_D02_S38_comb,-0.21290667407751263,Non-malignant,0.7301740028251109
HN25_P5_D04_S40_comb,-0.34517732302612436,Non-malignant,-0.10249520012569457
HN25_P5_D05_S41_comb,-0.3612840450964199,Non-malignant,-0.07128234895412786
HN25_P5_D07_S43_comb,-0.04047430298662383,Non-malignant,0.7218771906142943
HN25_P5_D10_S46_comb,-0.2735743394574206,Non-malignant,0.40389589647259466
HN25_P5_E03_S51_comb,-0.2691473011152111,Non-malignant,-0.11925637857747562
HN25_P5_E04_S52_comb,-0.08255152359780103,Non-malignant,0.3493608521972013
HN25_P5_E05_S53_comb,0.23357441219813785,Non-malignant,0.6082559833305173
HN25_P5_E06_S54_comb,0.024651265212425152,Non-malignant,0.13358264682767815
HN25_P5_E08_S56_comb,0.24943229245269566,Non-malignant,0.15621722045849643
